Water,Eau,Wasser,Acqua,みず,물,Agua
Leaf Blade,Lame-Feuille,Laubklinge,Fendifoglia,リーフブレード,리프블레이드,Hoja Aguda
Dragon Dance,Danse Draco,Drachentanz,Dragodanza,りゅうのまい,용의춤,Danza Dragón
Rock Blast,Boule Roc,Felswurf,Cadutamassi,ロックブラスト,락블레스트,Pedrada
Shock Wave,Onde de Choc,Schockwelle,Ondashock,でんげきは,전격파,Onda Voltio
Water Pulse,Vibraqua,Aquawelle,Idropulsar,みずのはどう,물의파동,Hidropulso
Doom Desire,Carnareket,Kismetwunsch,Obbliderio,はめつのねがい,파멸의소원,Deseo Oculto
Psycho Boost,Psycho Boost,Psyschub,Psicoslancio,サイコブースト,사이코부스트,Psicoataque
Roost,Atterrissage,Ruheort,Trespolo,はねやすめ,날개쉬기,Respiro
Gravity,Gravité,Erdanziehung,Gravità,じゅうりょく,중력,Gravedad
Miracle Eye,Œil Miracle,Wunderauge,Miracolvista,ミラクルアイ,미라클아이,Gran Ojo
Wake-Up Slap,Réveil Forcé,Weckruf,Svegliopacca,めざましビンタ,잠깨움뺨치기,Espabila
Hammer Arm,Marto-Poing,Hammerarm,Martelpugno,アームハンマー,암해머,Machada
Gyro Ball,Gyroballe,Gyroball,Vortexpalla,ジャイロボール,자이로볼,Giro Bola
Healing Wish,Vœu Soin,Heilopfer,Curardore,いやしのねがい,치유소원,Deseo Cura
Brine,Saumure,Lake,Acquadisale,しおみず,소금물,Salmuera
Natural Gift,Don Naturel,Beerenkräfte,Dononaturale,しぜんのめぐみ,자연의은혜,Don Natural
Feint,Ruse,Offenlegung,Fintoattacco,フェイント,페인트,Amago
Pluck,Picore,Pflücker,Spennata,ついばむ,쪼아대기,Picoteo
Tailwind,Vent Arrière,Rückenwind,Ventoincoda,おいかぜ,순풍,Viento Afín
Acupressure,Acupression,Akupressur,Acupressione,つぼをつく,경혈찌르기,Acupresión
Metal Burst,Fulmifer,Metallstoß,Metalscoppio,メタルバースト,메탈버스트,Represión Metal
U-turn,Demi-Tour,Kehrtwende,Retromarcia,とんぼがえり,유턴,Ida y Vuelta
Close Combat,Close Combat,Nahkampf,Zuffa,インファイト,인파이트,A Bocajarro
Payback,Représailles,Gegenstoß,Rivincita,しっぺがえし,보복,Vendetta
Assurance,Assurance,Gewissheit,Garanzia,ダメおし,승부굳히기,Buena Baza
Embargo,Embargo,Itemsperre,Divieto,さしおさえ,금제,Embargo
Fling,Dégommage,Schleuder,Lancio,なげつける,내던지기,Lanzamiento
Psycho Shift,Échange Psy,Psybann,Psicotrasfer,サイコシフト,사이코시프트,Psico-cambio
Trump Card,Atout,Trumpfkarte,Asso,きりふだ,마지막수단,As Oculto
Heal Block,Anti-Soin,Heilblockade,Anticura,かいふくふうじ,회복봉인,Anticura
Wring Out,Essorage,Auswringen,Strizzata,しぼりとる,쥐어짜기,Estrujón
Power Trick,Astuce Force,Krafttrick,Ingannoforza,パワートリック,파워트릭,Truco Fuerza
Gastro Acid,Suc Digestif,Magensäfte,Gastroacido,いえき,위액,Bilis
Lucky Chant,Air Veinard,Beschwörung,Fortuncanto,おまじない,주술,Conjuro
Me First,Moi d'Abord,Egotrip,Precedenza,さきどり,선취,Yo Primero
Copycat,Photocopie,Imitator,Copione,まねっこ,흉내쟁이,Copión
Power Swap,Permuforce,Krafttausch,Barattoforza,パワースワップ,파워스웹,Cambia Fuerza
Guard Swap,Permugarde,Schutztausch,Barattoscudo,ガードスワップ,가드스웹,Cambia Defensa
Punishment,Punition,Strafattacke,Punizione,おしおき,혼내기,Castigo
Last Resort,Dernier Recours,Zuflucht,Ultimascelta,とっておき,뒀다쓰기,Última Baza
Worry Seed,Soucigraine,Sorgensamen,Affannoseme,なやみのタネ,고민씨,Abatidoras
Sucker Punch,Coup Bas,Tiefschlag,Sbigoattacco,ふいうち,기습,Golpe Bajo
Toxic Spikes,Pics Toxik,Giftspitzen,Fielepunte,どくびし,독압정,Púas Tóxicas
Heart Swap,Permucœur,Statustausch,Cuorbaratto,ハートスワップ,하트스웹,Cambia Almas
Aqua Ring,Anneau Hydro,Wasserring,Acquanello,アクアリング,아쿠아링,Acua Aro
Magnet Rise,Vol Magnétik,Magnetflug,Magnetascesa,でんじふゆう,전자부유,Levitón
Flare Blitz,Boutefeu,Flammenblitz,Fuococarica,フレアドライブ,플레어드라이브,Envite Ígneo
Force Palm,Forte-Paume,Kraftwelle,Palmoforza,はっけい,발경,Palmeo
Aura Sphere,Aurasphère,Aurasphäre,Forzasfera,はどうだん,파동탄,Esfera Aural
Rock Polish,Poliroche,Steinpolitur,Lucidatura,ロックカット,록커트,Pulimento
Poison Jab,Direct Toxik,Gifthieb,Velenpuntura,どくづき,독찌르기,Puya Nociva
Dark Pulse,Vibrobscur,Finsteraura,Neropulsar,あくのはどう,악의파동,Pulso Umbrío
Night Slash,Tranche-Nuit,Nachthieb,Nottesferza,つじぎり,깜짝베기,Tajo Umbrío
Aqua Tail,Hydroqueue,Nassschweif,Idrondata,アクアテール,아쿠아테일,Acua Cola
Seed Bomb,Canon Graine,Samenbomben,Semebomba,タネばくだん,씨폭탄,Bomba Germen
Air Slash,Lame d'Air,Luftschnitt,Eterelama,エアスラッシュ,에어슬래시,Tajo Aéreo
X-Scissor,Plaie-Croix,Kreuzschere,Forbice X,シザークロス,시저크로스,Tijera X
Bug Buzz,Bourdon,Käfergebrumm,Ronzio,むしのさざめき,벌레의야단법석,Zumbido
Dragon Pulse,Dracochoc,Drachenpuls,Dragopulsar,りゅうのはどう,용의파동,Pulso Dragón
Dragon Rush,Dracocharge,Drachenstoß,Dragofuria,ドラゴンダイブ,드래곤다이브,Carga Dragón
Power Gem,Rayon Gemme,Juwelenkraft,Gemmoforza,パワージェム,파워젬,Joya de Luz
Drain Punch,Vampipoing,Ableithieb,Assorbipugno,ドレインパンチ,드레인펀치,Puño Drenaje
Vacuum Wave,Onde Vide,Vakuumwelle,Vuotonda,しんくうは,진공파,Onda Vacío
Focus Blast,Exploforce,Fokusstoß,Focalcolpo,きあいだま,기합구슬,Onda Certera
Energy Ball,Éco-Sphère,Energieball,Energipalla,エナジーボール,에너지볼,Energibola
Brave Bird,Rapace,Sturzflug,Baldeali,ブレイブバード,브레이브버드,Pájaro Osado
Earth Power,Telluriforce,Erdkräfte,Geoforza,だいちのちから,대지의힘,Tierra Viva
Switcheroo,Passe-Passe,Wechseldich,Rapidscambio,すりかえ,바꿔치기,Trapicheo
Giga Impact,Giga Impact,Gigastoß,Gigaimpatto,ギガインパクト,기가임팩트,Giga Impacto
Nasty Plot,Machination,Ränkeschmied,Congiura,わるだくみ,나쁜음모,Maquinación
Bullet Punch,Pisto-Poing,Patronenhieb,Pugnoscarica,バレットパンチ,불릿펀치,Puño Bala
Avalanche,Avalanche,Lawine,Slavina,ゆきなだれ,눈사태,Alud
Ice Shard,Éclats Glace,Eissplitter,Geloscheggia,こおりのつぶて,얼음뭉치,Canto Helado
Shadow Claw,Griffe Ombre,Dunkelklaue,Ombrartigli,シャドークロー,섀도크루,Garra Umbría
Thunder Fang,Crocs Éclair,Donnerzahn,Fulmindenti,かみなりのキバ,번개엄니,Colmillo Rayo
Ice Fang,Crocs Givre,Eiszahn,Gelodenti,こおりのキバ,얼음엄니,Colmillo Hielo
Fire Fang,Crocs Feu,Feuerzahn,Rogodenti,ほのおのキバ,불꽃엄니,Colmillo Ígneo
Shadow Sneak,Ombre Portée,Schattenstoß,Furtivombra,かげうち,야습,Sombra Vil
Mud Bomb,Boue-Bombe,Schlammbombe,Pantanobomba,どろばくだん,진흙폭탄,Bomba Fango
Psycho Cut,Coupe Psycho,Psychoklinge,Psicotaglio,サイコカッター,사이코커터,Psico-corte
Zen Headbutt,Psykoud'Boul,Zen-Kopfstoß,Cozzata Zen,しねんのずつき,사념의박치기,Cabezazo Zen
Mirror Shot,Miroi-Tir,Spiegelsalve,Cristalcolpo,ミラーショット,미러숏,Disparo Espejo
Flash Cannon,Luminocanon,Lichtkanone,Cannonflash,ラスターカノン,러스터캐논,Foco Resplandor
Rock Climb,Escalade,Kraxler,Scalaroccia,ロッククライム,락클라임,Treparrocas
Defog,Anti-Brume,Auflockern,Scacciabruma,きりばらい,안개제거,Despejar
Trick Room,Distorsion,Bizarroraum,Distortozona,トリックルーム,트릭룸,Espacio Raro
Draco Meteor,Draco Météor,Draco Meteor,Dragobolide,りゅうせいぐん,용성군,Cometa Draco
Discharge,Coup d'Jus,Ladungsstoß,Scarica,ほうでん,방전,Chispazo
Lava Plume,Ébullilave,Flammensturm,Lavasbuffo,ふんえん,분연,Humareda
Leaf Storm,Tempête Verte,Blättersturm,Verdebufera,リーフストーム,리프스톰,Lluevahojas
Power Whip,Mégafouet,Blattgeißel,Vigorcolpo,パワーウィップ,파워휩,Latigazo
Rock Wrecker,Roc-Boulet,Felswerfer,Devastomasso,がんせきほう,암석포,Romperrocas
Cross Poison,Poison-Croix,Giftstreich,Velenocroce,クロスポイズン,크로스포이즌,Veneno X
Gunk Shot,Détricanon,Mülltreffer,Sporcolancio,ダストシュート,더스트슈트,Lanza Mugre
Iron Head,Tête de Fer,Eisenschädel,Metaltestata,アイアンヘッド,아이언헤드,Cabeza de Hierro
Magnet Bomb,Bombaimant,Magnetbombe,Bombagnete,マグネットボム,마그넷봄,Bomba Imán
Stone Edge,Lame de Roc,Steinkante,Pietrataglio,ストーンエッジ,스톤에지,Roca Afilada
Captivate,Séduction,Liebreiz,Incanto,ゆうわく,유혹,Seducción
Stealth Rock,Piège de Roc,Tarnsteine,Levitoroccia,ステルスロック,스텔스록,Trampa Rocas
Grass Knot,Nœud Herbe,Strauchler,Laccioerboso,くさむすび,풀묶기,Hierba Lazo
Chatter,Babil,Geschwätz,Schiamazzo,おしゃべり,수다,Cháchara
Judgment,Jugement,Urteilskraft,Giudizio,さばきのつぶて,심판의뭉치,Sentencia
Bug Bite,Piqûre,Käferbiss,Coleomorso,むしくい,벌레먹음,Picadura
Charge Beam,Rayon Chargé,Ladestrahl,Raggioscossa,チャージビーム,차지빔,Rayo Carga
Wood Hammer,Martobois,Holzhammer,Mazzuolegno,ウッドハンマー,우드해머,Mazazo
Aqua Jet,Aqua-Jet,Wasserdüse,Acquagetto,アクアジェット,아쿠아제트,Acua Jet
Attack Order,Appel Attak,Schlagbefehl,Comandourto,こうげきしれい,공격지령,Al Ataque
Defend Order,Appel Défense,Blockbefehl,Comandoscudo,ぼうぎょしれい,방어지령,A Defender
Heal Order,Appel Soins,Heilbefehl,Comandocura,かいふくしれい,회복지령,Auxilio
Head Smash,Fracass'Tête,Kopfstoß,Zuccata,もろはのずつき,양날박치기,Testarazo
Double Hit,Coup Double,Doppelschlag,Doppiosmash,ダブルアタック,더블어택,Doble Golpe
Roar of Time,Hurle-Temps,Zeitenlärm,Fragortempo,ときのほうこう,시간의포효,Distorsión
Spacial Rend,Spatio-Rift,Raumschlag,Fendispazio,あくうせつだん,공간절단,Corte Vacío
Lunar Dance,Danse-Lune,Lunartanz,Lunardanza,みかづきのまい,초승달춤,Danza Lunar
Crush Grip,Presse,Quetschgriff,Sbriciolmano,にぎりつぶす,묵사발,Agarrón
Magma Storm,Vortex Magma,Lavasturm,Magmaclisma,マグマストーム,마그마스톰,Lluvia Ígnea
Dark Void,Trou Noir,Schlummerort,Vuototetro,ダークホール,다크홀,Brecha Negra
Seed Flare,Fulmigraine,Schocksamen,Infuriaseme,シードフレア,시드플레어,Fogonazo
Ominous Wind,Vent Mauvais,Unheilböen,Funestovento,あやしいかぜ,괴상한바람,Viento Aciago
Shadow Force,Revenant,Schemenkraft,Oscurotuffo,シャドーダイブ,섀도다이브,Golpe Umbrío
Hone Claws,Aiguisage,Klauenwetzer,Unghiaguzze,つめとぎ,손톱갈기,Afilagarras
Wide Guard,Garde Large,Rundumschutz,Bodyguard,ワイドガード,와이드가드,Vastaguardia
Guard Split,Partage Garde,Schutzteiler,Paridifesa,ガードシェア,가드셰어,Isoguardia
Power Split,Partage Force,Kraftteiler,Pariattacco,パワーシェア,파워셰어,Isofuerza
Wonder Room,Zone Étrange,Wunderraum,Mirabilzona,ワンダールーム,원더룸,Zona Extraña
Psyshock,Choc Psy,Psychoschock,Psicoshock,サイコショック,사이코쇼크,Psicocarga
Venoshock,Choc Venin,Giftschock,Velenoshock,ベノムショック,베놈쇼크,Cargatóxica
Autotomize,Allègement,Autotomie,Sganciapesi,ボディパージ,바디퍼지,Aligerar
Rage Powder,Poudre Fureur,Wutpulver,Polverabbia,いかりのこな,분노가루,Polvo Ira
Telekinesis,Lévikinésie,Telekinese,Telecinesi,テレキネシス,텔레키네시스,Telequinesis
Magic Room,Zone Magique,Magieraum,Magicozona,マジックルーム,매직룸,Zona Mágica
Smack Down,Anti-Air,Katapult,Abbattimento,うちおとす,떨어뜨리기,Antiaéreo
Storm Throw,Yama Arashi,Bergsturm,Tempestretta,やまあらし,업어후리기,Llave Corsé
Flame Burst,Rebondifeu,Funkenflug,Pirolancio,はじけるほのお,불꽃튀기기,Pirotecnia
Sludge Wave,Cradovague,Schlammwoge,Fangonda,ヘドロウェーブ,오물웨이브,Onda Tóxica
Quiver Dance,Papillodanse,Falterreigen,Eledanza,ちょうのまい,나비춤,Danza Aleteo
Heavy Slam,Tacle Lourd,Rammboss,Pesobomba,ヘビーボンバー,헤비봄버,Cuerpo Pesado
Synchronoise,Synchropeine,Synchrolärm,Sincrumore,シンクロノイズ,싱크로노이즈,Sincrorruido
Electro Ball,Boule Élek,Elektroball,Energisfera,エレキボール,일렉트릭볼,Bola Voltio
Soak,Détrempage,Überflutung,Inondazione,みずびたし,물붓기,Anegar
Flame Charge,Nitrocharge,Nitroladung,Nitrocarica,ニトロチャージ,니트로차지,Nitrocarga
Coil,Enroulement,Einrollen,Arrotola,とぐろをまく,똬리틀기,Enrosque
Low Sweep,Balayette,Fußtritt,Calciobasso,ローキック,로킥,Puntapié
Acid Spray,Bombe Acide,Säurespeier,Acidobomba,アシッドボム,애시드봄,Bomba Ácida
Foul Play,Tricherie,Schmarotzer,Ripicca,イカサマ,속임수,Juego Sucio
Simple Beam,Rayon Simple,Wankelstrahl,Ondisinvolta,シンプルビーム,심플빔,Onda Simple
Entrainment,Ten-danse,Zwango,Saltamicizia,なかまづくり,동료만들기,Danza Amiga
After You,Après Vous,Galanterie,Cortesia,おさきにどうぞ,당신먼저,Cede Paso
Round,Chant Canon,Kanon,Coro,りんしょう,돌림노래,Canon
Echoed Voice,Écho,Widerhall,Echeggiavoce,エコーボイス,에코보이스,Eco Voz
Chip Away,Attrition,Zermürben,Insidia,なしくずし,객기,Guardia Baja
Clear Smog,Bain de Smog,Klärsmog,Pulifumo,クリアスモッグ,클리어스모그,Niebla Clara
Stored Power,Force Ajoutée,Kraftvorrat,Veicolaforza,アシストパワー,어시스트파워,Poder Reserva
Quick Guard,Prévention,Rapidschutz,Anticipo,ファストガード,퍼스트가드,Anticipo
Ally Switch,Interversion,Seitentausch,Cambiaposto,サイドチェンジ,사이드체인지,Cambio Banda
Scald,Ébullition,Siedewasser,Idrovampata,ねっとう,열탕,Escaldar
Shell Smash,Exuviation,Hausbruch,Gettaguscio,からをやぶる,껍질깨기,Rompecoraza
Heal Pulse,Vibra Soin,Heilwoge,Ondasana,いやしのはどう,치유파동,Pulso Cura
Hex,Châtiment,Bürde,Sciagura,たたりめ,병상첨병,Infortunio
Sky Drop,Chute Libre,Freier Fall,Cadutalibera,フリーフォール,프리폴,Caída Libre
Shift Gear,Changement Vitesse,Gangwechsel,Cambiomarcia,ギアチェンジ,기어체인지,Cambio de Marcha
Circle Throw,Projection,Überkopfwurf,Ribaltiro,ともえなげ,배대뒤치기,Llave Giro
Incinerate,Calcination,Einäschern,Bruciatutto,やきつくす,불태우기,Calcinación
Quash,À la Queue,Verzögerung,Spintone,さきおくり,순서미루기,Último Lugar
Acrobatics,Acrobatie,Akrobatik,Acrobazia,アクロバット,애크러뱃,Acróbata
Reflect Type,Copie Type,Typenspiegel,Riflettipo,ミラータイプ,미러타입,Clonatipo
Retaliate,Vengeance,Heimzahlung,Nemesi,かたきうち,원수갚기,Represalia
Final Gambit,Tout ou Rien,Wagemut,Azzardo,いのちがけ,목숨걸기,Sacrificio
Bestow,Passe-Cadeau,Offerte,Cediregalo,ギフトパス,기프트패스,Ofrenda
Inferno,Feu d'Enfer,Inferno,Marchiatura,れんごく,연옥,Infierno
Water Pledge,Aire d'Eau,Wassersäulen,Acquapatto,みずのちかい,물의맹세,Voto Agua
Fire Pledge,Aire de Feu,Feuersäulen,Fiammapatto,ほのおのちかい,불꽃의맹세,Voto Fuego
Grass Pledge,Aire de Plante,Pflanzsäulen,Erbapatto,くさのちかい,풀의맹세,Voto Planta
Volt Switch,Change Éclair,Voltwechsel,Invertivolt,ボルトチェンジ,볼트체인지,Voltiocambio
Struggle Bug,Survinsecte,Käfertrutz,Entomoblocco,むしのていこう,벌레의저항,Estoicismo
Bulldoze,Piétisol,Dampfwalze,Battiterra,じならし,땅고르기,Terratemblor
Frost Breath,Souffle Glacé,Eisesodem,Alitogelido,こおりのいぶき,얼음숨결,Vaho Gélido
Dragon Tail,Draco-Queue,Drachenrute,Codadrago,ドラゴンテール,드래곤테일,Cola Dragón
Work Up,Rengorgement,Kraftschub,Cuordileone,ふるいたてる,분발,Avivar
Electroweb,Toile Élek,Elektronetz,Elettrotela,エレキネット,일렉트릭네트,Electrotela
Wild Charge,Éclair Fou,Stromstoß,Sprizzalampo,ワイルドボルト,와일드볼트,Voltio Cruel
Drill Run,Tunnelier,Schlagbohrer,Giravvita,ドリルライナー,드릴라이너,Taladradora
Dual Chop,Double Baffe,Doppelhieb,Doppiocolpo,ダブルチョップ,더블촙,Golpe Bis
Heart Stamp,Crèvecœur,Herzstempel,Cuorestampo,ハートスタンプ,하트스탬프,Arrumaco
Horn Leech,Encornebois,Holzgeweih,Legnicorno,ウッドホーン,우드호른,Asta Drenaje
Sacred Sword,Lame Sainte,Sanctoklinge,Spadasolenne,せいなるつるぎ,성스러운칼,Espada Santa
Razor Shell,Coquilame,Kalkklinge,Conchilama,シェルブレード,셸블레이드,Concha Filo
Heat Crash,Tacle Feu,Brandstempel,Marchiafuoco,ヒートスタンプ,히트스탬프,Golpe Calor
Leaf Tornado,Phytomixeur,Grasmixer,Vorticerba,グラスミキサー,그래스믹서,Ciclón de Hojas
Steamroller,Bulldoboule,Quetschwalze,Rulloduro,ハードローラー,하드롤러,Rodillo Púas
Cotton Guard,Cotogarde,Watteschild,Cotonscudo,コットンガード,코튼가드,Rizo Algodón
Night Daze,Explonuit,Nachtflut,Urtoscuro,ナイトバースト,나이트버스트,Pulso Noche
Psystrike,Frappe Psy,Psychostoß,Psicobotta,サイコブレイク,사이코브레이크,Onda Mental
Tail Slap,Plumo-Queue,Kehrschelle,Spazzasberla,スイープビンタ,스위프뺨치기,Plumerazo
Hurricane,Vent Violent,Orkan,Tifone,ぼうふう,폭풍,Vendaval
Head Charge,Peignée,Steinschädel,Ricciolata,アフロブレイク,아프로브레이크,Ariete
Gear Grind,Lancécrou,Klikkdiskus,Ingracolpo,ギアソーサー,기어소서,Rueda Doble
Searing Shot,Incendie,Flammenball,Sparafuoco,かえんだん,화염탄,Bomba Ígnea
Techno Blast,TechnoBuster,Techblaster,Tecnobotto,テクノバスター,테크노버스터,Tecno Shock
Relic Song,Chant Antique,Urgesang,Cantoantico,いにしえのうた,옛노래,Canto Arcaico
Secret Sword,Lame Ouinte,Mystoschwert,Spadamistica,しんぴのつるぎ,신비의칼,Sable Místico
Glaciate,Ère Glaciaire,Eiszeit,Gelamondo,こごえるせかい,얼다세계,Mundo Gélido
Bolt Strike,Charge Foudre,Blitzschlag,Lucesiluro,らいげき,뇌격,Ataque Fulgor
Blue Flare,Flamme Bleue,Blauflammen,Fuocoblu,あおいほのお,푸른불꽃,Llama Azul
Fiery Dance,Danse du Feu,Feuerreigen,Voldifuoco,ほのおのまい,불꽃춤,Danza Llama
Freeze Shock,Éclair Gelé,Frostvolt,Elettrogelo,フリーズボルト,프리즈볼트,Rayo Gélido
Ice Burn,Feu Glacé,Frosthauch,Vampagelida,コールドフレア,콜드플레어,Llama Gélida
Snarl,Aboiement,Standpauke,Urlorabbia,バークアウト,바크아웃,Alarido
Icicle Crash,Chute Glace,Eiszapfhagel,Scagliagelo,つららおとし,고드름떨구기,Chuzos
V-create,Coup Victoire,V-Generator,Generatore V,Ｖジェネレート,V제너레이트,V de Fuego
Fusion Flare,Flamme Croix,Kreuzflamme,Incrofiamma,クロスフレイム,크로스플레임,Llama Fusión
Fusion Bolt,Éclair Croix,Kreuzdonner,Incrotuono,クロスサンダー,크로스썬더,Rayo Fusión
Flying Press,Flying Press,Flying Press,Schiacciatuffo,フライングプレス,플라잉프레스,Plancha Voladora
Mat Block,Tatamigaeshi,Tatami-Schild,Ribaltappeto,たたみがえし,마룻바닥세워막기,Escudo Tatami
Belch,Éructation,Rülpser,Rutto,ゲップ,트림,Eructo
Rototiller,Fertilisation,Pflüger,Aracampo,たがやす,일구기,Fertilizante
Sticky Web,Toile Gluante,Klebenetz,Rete Vischiosa,ねばねばネット,끈적끈적네트,Red Viscosa
Fell Stinger,Dard Mortel,Stachelfinale,Pungiglione,とどめばり,마지막일침,Aguijón Letal
Phantom Force,Hantise,Phantomkraft,Spettrotuffo,ゴーストダイブ,고스트다이브,Golpe Fantasma
Trick-or-Treat,Halloween,Halloween,Halloween,ハロウィン,핼러윈,Halloween
Noble Roar,Râle Mâle,Kampfgebrüll,Urlo,おたけび,부르짖기,Rugido de Guerra
Ion Deluge,DélugePlasma,Plasmaschauer,Pioggiaplasma,プラズマシャワー,플라스마샤워,Cortina Plasma
Parabolic Charge,Parabocharge,Parabolladung,Caricaparabola,パラボラチャージ,파라볼라차지,Carga Parábola
Forest's Curse,Maléfice Sylvain,Waldesfluch,Schiacciatuffo,もりののろい,숲의저주,Condena Silvana
Petal Blizzard,Tempête Florale,Blütenwirbel,Fiortempesta,はなふぶき,꽃보라,Tormenta Floral
Freeze-Dry,Lyophilisation,Gefriertrockner,Liofilizzazione,フリーズドライ,프리즈드라이,Liofilización
Disarming Voice,Voix Enjôleuse,Säuselstimme,Incantavoce,チャームボイス,차밍보이스,Voz Cautivadora
Parting Shot,Dernier Mot,Abgangstirade,Monito,すてゼリフ,막말내뱉기,Última Palabra
Topsy-Turvy,Renversement,Invertigo,Sottosopra,ひっくりかえす,뒤집어엎기,Reversión
Draining Kiss,Vampibaiser,Diebeskuss,Assorbibacio,ドレインキッス,드게인키스,Beso Drenaje
Crafty Shield,Vigilance,Trickschutz,Truccodifesa,トリックガード,트릭가드,Truco Defensa
Flower Shield,Garde Florale,Floraschutz,Fiordifesa,フラワーガード,플라워가드,Defensa Floral
Grassy Terrain,Champ Herbu,Grasfeld,Campo Erboso,グラスフィールド,그래스필드,Campo de Hierba
Misty Terrain,Champ Brumeux,Nebelfeld,Campo Nebbioso,ミストフィールド,미스트필드,Campo de Niebla
Electrify,Électrisation,Elektrifizierung,Elettrocontagio,そうでん,송전,Electrificación
Play Rough,Câlinerie,Knuddler,Carineria,じゃれつく,치근거리기,Carantoña
Fairy Wind,Vent Féérique,Feenbrise,Vento di Fata,ようせいのかぜ,요정의바람,Viento Feérico
Moonblast,Pouvoir Lunaire,Mondgewalt,Forza Lunare,ムーンフォース,문포스,Fuerza Lunar
Boomburst,Bang Sonique,Überschallknall,Ondaboato,ばくおんぱ,폭음파,Estruendo
Fairy Lock,Verrou Enchanté,Feenschloss,Blocco Fatato,フェアリーロック,페어리록,Cerrojo Feérico
King's Shield,Bouclier Royal,Königsschild,Scudo Reale,キングシールド,킹실드,Escudo Real
Play Nice,Camaraderie,Kameradschaft,Simpatia,なかよくする,친해지기,Camaradería
Confide,Confidence,Vertrauenssache,Confidenza,ないしょばなし,비밀이야기,Confidencia
Diamond Storm,Orage Adamantin,Diamantsturm,Diamantempesta,ダイヤストーム,다이아스톰,Torm. Diamantes
Steam Eruption,Jet de Vapeur,Dampfschwall,Vaporscoppio,スチームバースト,스팀버스트,Chorro de Vapor
Hyperspace Hole,TrouDimensionnel,Dimensionsloch,Forodimensionale,いじげんホール,다른차원홀,Paso Dimensional
Water Shuriken,Sheauriken,Wasser-Shuriken,Acqualame,みずしゅりけん,물수리검,Shuriken de Agua
Mystical Fire,Feu Ensorcelé,Magieflamme,Magifiamma,マジカルフレイム,매지컬플레임,Llama Embrujada
Spiky Shield,Pico-Défense,Schutzstacheln,Agodifesa,ニードルガード,니들가드,Barrera Espinosa
Aromatic Mist,Brume Capiteuse,Duftwolke,Nebularoma,アロマミスト,아로마미스트,Niebla Aromática
Eerie Impulse,Ondes Étranges,Mystowellen,Elettromistero,かいでんぱ,괴전파,Onda Anómala
Venom Drench,Piège de Venin,Giftfalle,Velenotrappola,ベノムトラップ,베놈트랩,Trampa Venenosa
Powder,Nuée de Poudre,Pulverschleuder,Pulviscoppio,ふんじん,분진,Polvo Explosivo
Geomancy,Géo-Contrôle,Geokontrolle,Geocontrollo,ジオコントロール,지오컨트롤,Geocontrol
Magnetic Flux,Magné-Contrôle,Magnetregler,Controllo Polare,じばそうさ,자기장조작,Aura Magnética
Happy Hour,Étrennes,Goldene Zeiten,Cuccagna,ハッピータイム,해피타임,Paga Extra
Electric Terrain,Champ Électrifié,Elektrofeld,Campo Elettrico,エレキフィールド,일렉트릭필드,Campo Eléctrico
Dazzling Gleam,Éclat Magique,Zauberschein,Magibrillio,マジカルシャイン,매지컬샤인,Brillo Mágico
Celebrate,Célébration,Ehrentag,Auguri,おいわい,축하,Celebración
Hold Hands,Mains Jointes,Händchenhalten,Mano nella Mano,てをつなぐ,손에손잡기,Manos Juntas
Baby-Doll Eyes,Regard Touchant,Kulleraugen,Occhioni Teneri,つぶらなひとみ,초롱초롱눈동자,Ojitos Tiernos
Nuzzle,Frotte-Frimousse,Wangenrubbler,Elettrococcola,ほっぺすりすり,볼부비부비,Moflete Estático
Hold Back,Retenue,Zurückhaltung,Riguardo,てかげん,적당히손봐주기,Clemencia
Infestation,Harcèlement,Plage,Assillo,まとわりつく,엉겨붙기,Acoso
Power-Up Punch,Poing Boost,Steigerungshieb,Crescipugno,グロウパンチ,그로우펀치,Puño Incremento
Oblivion Wing,Mort-Ailes,Unheilsschwingen,Ali del Fato,デスウイング,데스윙,Ala Mortífera
Thousand Arrows,Myria-Flèches,Tausend Pfeile,Mille Frecce,サウザンアロー,사우전드애로,Mil Flechas
Thousand Waves,Myria-Vagues,Tausend Wellen,Mille Onde,サウザンウェーブ,사우전드웨이브,Mil Temblores
Land's Wrath,Force Chtonienne,Bodengewalt,Forza Tellurica,グランドフォース,그라운드포스,Fuerza Telúrica
Light of Ruin,Lumière du Néant,Lux Calamitatis,Luce Nefasta,はめつのひかり,파멸의빛,Luz Aniquiladora
Origin Pulse,Onde Originelle,Ursprungswoge,Primopulsar,こんげんのはどう,근원의파동,Pulso Primigenio
Precipice Blades,Lame Pangéenne,Abgrundsklinge,Spade Telluriche,だんがいのつるぎ,단애의칼,Filo del Abismo
Dragon Ascent,Draco Ascension,Zenitstürmer,Ascesa del Drago,ガリョウテンセイ,화룡점정,Ascenso Draco
Hyperspace Fury,Furie Dimension,Dimensionswahn,Urtodimensionale,いじげんラッシュ,다른차원러시,Cerco Dimensión
Accelerock,Vif Roc,Turbofelsen,Rocciarapida,アクセルロック,액셀록,Roca Veloz
Core Enforcer,Sanction Suprême,Sanktionskern,Nucleocastigo,コアパニッシャー,코어퍼니셔,Núcleo Castigo
Fleur Cannon,Canon Floral,Kanonenbouquet,Cannonfiore,フルールカノン,플뢰르캐논,Cañón Floral
Instruct,Sommation,Kommando,Imposizione,さいはい,지휘,Mandato
